loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2024-05-06T18:39:06.859+02:00,1,1715013543.529521,53.22951143730716,10.40522503571061,30.1124,-1,-1,-1,-1,6.185407638549805,35,-9999,1715013546.854292,-3.514404296875,-23.6285400390625,-34.03729248046875,181.8652191162109,177.6986083984375,11.53553581237793,1242484.019826,0.0381622314453125,-0.1822967529296875,-0.9670867919921875,1242484.009776,-0.04077539220452309,0.04727111011743546,0.01158768031746149,1242483.994836,-40.09442138671875,-225.0121917724609,-595.927001953125,1242484.01857,-0.6775014319919596,0.002176433498276855,0.1614800342122458,-0.03441157191991806,-0.02233346365392208,-0.001414618920534849,0.0375247448682785,-0.01472741365432739,0.006641387939453125,XArbitraryCorrectedZVertical,0.07642929865543797,-0.02577845456591824,-0.3311435335012359,0.9401265431184983,0.002148117171600461,-0.1607791632413864,-0.9869880676269531,-3.405338287353516,-23.717041015625,-33.56591796875,-1,2,1242483.318829,unknown,2,2024-05-06T18:39:06.201+02:00,2024-05-06T08:14:20.629+02:00,3319,1.075756,0,0,2303.394,3,4,2024-05-06T18:39:05.880+02:00,1242482.218306,0,-3.561848,100.6105,0,,,my_iOS_device,0,1,1715013546.832307,1,0.7,0
2024-05-06T18:39:06.874+02:00,2,1715013543.529521,53.22951143730716,10.40522503571061,30.1124,-1,-1,-1,-1,6.185407638549805,35,-9999,1715013546.854292,-3.514404296875,-23.6285400390625,-34.03729248046875,181.8652191162109,177.6986083984375,11.53553581237793,1242484.049976,0.0214080810546875,-0.1927337646484375,-0.9669036865234375,1242484.039926,-0.06060182675719261,-0.09739499539136887,-0.02816985175013542,1242484.025551,-40.3558349609375,-224.8739471435547,-596.4480590820312,1242484.01857,-0.6775014319919596,0.002176433498276855,0.1614800342122458,-0.03441157191991806,-0.02233346365392208,-0.001414618920534849,0.0375247448682785,-0.01472741365432739,0.006641387939453125,XArbitraryCorrectedZVertical,0.07642929865543797,-0.02577845456591824,-0.3311435335012359,0.9401265431184983,0.002148117171600461,-0.1607791632413864,-0.9869880676269531,-3.405338287353516,-23.717041015625,-33.56591796875,-1,2,1242483.318829,unknown,2,2024-05-06T18:39:06.201+02:00,2024-05-06T08:14:20.629+02:00,3319,1.075756,0,0,2303.394,3,4,2024-05-06T18:39:05.880+02:00,1242482.218306,0,-3.561848,100.6105,1715013546.86496,10.233.12.50,100.110.24.9,my_iOS_device,0,1,1715013546.832307,1,0.7,0
2024-05-06T18:39:06.913+02:00,3,1715013543.529521,53.22951143730716,10.40522503571061,30.1124,-1,-1,-1,-1,6.185407638549805,35,-9999,1715013546.894528,-3.439167022705078,-23.67828369140625,-33.4718017578125,181.9233703613281,177.7567596435547,11.53627967834473,1242484.080127,0.0057830810546875,-0.183563232421875,-0.9715118408203125,1242484.070077,-0.07725617289543152,0.0357247069478035,-0.01081243436783552,1242484.056267,-39.98646545410156,-224.8408355712891,-596.2608642578125,1242484.053745,-0.6783311919174083,-3.559105744421511e-05,0.159671125291258,-0.08230850845575333,-0.054327592253685,-0.02548679336905479,0.02080235816538334,-0.03357236087322235,0.01900267601013184,XArbitraryCorrectedZVertical,0.07520169123244624,-0.02654984799244829,-0.3316419974190443,0.9400282916724184,-3.513832416501828e-05,-0.1589935272932053,-0.9872795939445496,-3.325000762939453,-23.51187133789062,-33.861083984375,-1,2,1242483.318829,unknown,2,2024-05-06T18:39:06.201+02:00,2024-05-06T08:14:20.629+02:00,3319,1.075756,0,0,2303.394,3,4,2024-05-06T18:39:05.880+02:00,1242482.218306,0,-3.561848,100.6105,1715013546.86496,10.233.12.50,100.110.24.9,my_iOS_device,0,1,1715013546.832307,1,0.7,0
2024-05-06T18:39:06.935+02:00,4,1715013543.529521,53.22951143730716,10.40522503571061,30.1124,-1,-1,-1,-1,6.185407638549805,35,-9999,1715013546.914723,-3.340660095214844,-23.58552551269531,-33.98883056640625,181.9541625976562,177.7875518798828,11.53646278381348,1242484.110277,0.035614013671875,-0.1894683837890625,-0.9600067138671875,1242484.100227,-0.07893715798854828,0.1132815480232239,-0.005938316695392132,1242484.086983,-40.1866455078125,-224.8906555175781,-596.1945190429688,1242484.088921,-0.6790931958034766,0.001708161616588761,0.1571742629238575,-0.07533133774995804,0.1122134849429131,-0.03065512143075466,0.003790806047618389,-0.02669958770275116,0.01854062080383301,XArbitraryCorrectedZVertical,0.07430756826472984,-0.02534442819798182,-0.3319683325596904,0.940017535588488,0.001687105163000524,-0.1565279364585876,-0.9876720905303955,-3.340660095214844,-23.58552551269531,-33.98883056640625,-1,2,1242483.318829,unknown,2,2024-05-06T18:39:06.201+02:00,2024-05-06T08:14:20.629+02:00,3319,1.075756,0,0,2303.394,3,4,2024-05-06T18:39:05.880+02:00,1242482.218306,0,-3.561848,100.6105,1715013546.86496,10.233.12.50,100.110.24.9,my_iOS_device,0,1,1715013546.832307,1,0.7,0
2024-05-06T18:39:06.965+02:00,5,1715013543.529521,53.22951143730716,10.40522503571061,30.1124,-1,-1,-1,-1,6.185407638549805,35,-9999,1715013546.954854,-3.225254058837891,-23.42094421386719,-34.1495361328125,181.9466857910156,177.7800750732422,11.53663349151611,1242484.140428,0.0245361328125,-0.1769561767578125,-0.9735565185546875,1242484.130377,-0.1129854097962379,0.04687190055847168,0.004507400095462799,1242484.117699,-39.64443969726562,-224.8552093505859,-595.822021484375,1242484.124096,-0.6791676451975863,0.006255960939693692,0.1548738166812894,-0.1130722761154175,0.07780913263559341,0.01286299247294664,0.0248858630657196,-0.0310625433921814,0.02377825975418091,XArbitraryCorrectedZVertical,0.07398023162634118,-0.02282741984487473,-0.331866731450594,0.9401437519715202,0.006181043107062578,-0.1542554348707199,-0.9880116581916809,-2.94091796875,-23.57759094238281,-33.76416015625,-1,2,1242483.318829,unknown,2,2024-05-06T18:39:06.201+02:00,2024-05-06T08:14:20.629+02:00,3319,1.075756,0,0,2303.394,3,4,2024-05-06T18:39:05.880+02:00,1242482.218306,0,-3.561848,100.6105,1715013546.86496,10.233.12.50,100.110.24.9,my_iOS_device,0,1,1715013546.832307,1,0.7,0
2024-05-06T18:39:06.996+02:00,6,1715013543.529521,53.22951143730716,10.40522503571061,30.1124,-1,-1,-1,-1,6.185407638549805,35,-9999,1715013546.995022,-2.954963684082031,-23.34999084472656,-33.78155517578125,182.0591125488281,177.8925018310547,11.53697967529297,1242484.170578,0.008270263671875,-0.17022705078125,-0.9743194580078125,1242484.160528,-0.07151519507169724,-0.06897401064634323,-0.06528286635875702,1242484.148413,-40.0703125,-224.5964660644531,-596.03173828125,1242484.159272,-0.680026910189699,0.006488419946099987,0.1519186387053245,-0.07589448988437653,-0.06438786536455154,-0.06411406397819519,0.01363641209900379,-0.0286577045917511,-0.002169370651245117,XArbitraryCorrectedZVertical,0.07262026976427075,-0.02225828168494485,-0.3323043045635901,0.940108770786069,0.006413644645363092,-0.1513349562883377,-0.9884617328643799,-2.935745239257812,-23.33100891113281,-34.17205810546875,-1,2,1242483.318829,unknown,2,2024-05-06T18:39:06.201+02:00,2024-05-06T08:14:20.629+02:00,3319,1.075756,0,0,2303.394,3,4,2024-05-06T18:39:05.880+02:00,1242482.218306,0,-3.561848,100.6105,1715013546.86496,10.233.12.50,100.110.24.9,my_iOS_device,0,1,1715013546.832307,1,0.7,0
2024-05-06T18:39:07.028+02:00,7,1715013543.529521,53.22951143730716,10.40522503571061,30.1124,-1,-1,-1,-1,6.185407638549805,35,-9999,1715013547.015169,-3.180721282958984,-23.32223510742188,-34.42218017578125,182.1318054199219,177.9651947021484,11.53720188140869,1242484.200728,-0.0089874267578125,-0.176666259765625,-0.96893310546875,1242484.190678,-0.009338374249637127,-0.1342060118913651,-0.04918885231018066,1242484.179127,-39.89595031738281,-224.7358245849609,-596.3670654296875,1242484.194447,-0.6823739332065715,0.00337523821845281,0.1510511511812332,0.004799932707101107,-0.1394346207380295,-0.04529808089137077,-0.009684448130428791,-0.02264879643917084,0.02593082189559937,XArbitraryCorrectedZVertical,0.07166748080281975,-0.02366144608224607,-0.3335315649851134,0.9397129480355869,0.003336799563840032,-0.1504773944616318,-0.9886078238487244,-3.180721282958984,-23.32223510742188,-34.42218017578125,-1,2,1242483.318829,unknown,2,2024-05-06T18:39:06.201+02:00,2024-05-06T08:14:20.629+02:00,3319,1.075756,0,0,2303.394,3,4,2024-05-06T18:39:05.880+02:00,1242482.218306,0,-3.561848,100.6105,1715013546.86496,10.233.12.50,100.110.24.9,my_iOS_device,0,1,1715013546.832307,1,0.7,0
2024-05-06T18:39:07.055+02:00,8,1715013543.529521,53.22951143730716,10.40522503571061,30.1124,-1,-1,-1,-1,6.185407638549805,35,-9999,1715013547.035276,-3.182186126708984,-23.27604675292969,-34.7227783203125,182.1752014160156,178.0085906982422,11.53738689422607,1242484.230879,-0.0264892578125,-0.16387939453125,-0.99920654296875,1242484.220829,0.09745012223720551,-0.09449188411235809,-0.02002084627747536,1242484.209841,-40.00765991210938,-224.5635833740234,-597.16845703125,1242484.229623,-0.6835007083794732,3.7536946370177e-05,0.1539151640151882,0.1236529871821404,-0.03110072389245033,-0.01853125914931297,-0.03375901281833649,-0.0139739066362381,-0.0001180768013000488,XArbitraryCorrectedZVertical,0.07244181201065414,-0.02574823528632464,-0.3341434602938906,0.9393813154944551,3.709319935296662e-05,-0.1533081829547882,-0.9881784319877625,-3.152164459228516,-23.19886779785156,-34.23492431640625,-1,2,1242483.318829,unknown,2,2024-05-06T18:39:06.201+02:00,2024-05-06T08:14:20.629+02:00,3319,1.075756,0,0,2303.394,3,4,2024-05-06T18:39:05.880+02:00,1242482.218306,0,-3.561848,100.6105,1715013546.86496,10.233.12.50,100.110.24.9,my_iOS_device,0,1,1715013546.832307,1,0.7,0
2024-05-06T18:39:07.085+02:00,9,1715013543.529521,53.22951143730716,10.40522503571061,30.1124,-1,-1,-1,-1,6.185407638549805,35,-9999,1715013547.075452,-3.2293701171875,-23.55101013183594,-34.0252685546875,182.1775207519531,178.0109100341797,11.53765773773193,1242484.261029,-0.0203399658203125,-0.16943359375,-0.9962921142578125,1242484.250979,0.1736242473125458,0.1321268826723099,0.04735100269317627,1242484.240556,-39.89958190917969,-224.6412200927734,-596.6854248046875,1242484.229623,-0.6835007083794732,3.7536946370177e-05,0.1539151640151882,0.1236529871821404,-0.03110072389245033,-0.01853125914931297,-0.03375901281833649,-0.0139739066362381,-0.0001180768013000488,XArbitraryCorrectedZVertical,0.07244181201065414,-0.02574823528632464,-0.3341434602938906,0.9393813154944551,3.709319935296662e-05,-0.1533081829547882,-0.9881784319877625,-3.152164459228516,-23.19886779785156,-34.23492431640625,-1,2,1242483.318829,unknown,2,2024-05-06T18:39:06.201+02:00,2024-05-06T08:14:20.629+02:00,3319,1.075756,0,0,2303.394,3,4,2024-05-06T18:39:05.880+02:00,1242482.218306,0,-3.561848,100.6105,1715013546.86496,10.233.12.50,100.110.24.9,my_iOS_device,0,1,1715013546.832307,1,0.7,0
2024-05-06T18:39:07.116+02:00,10,1715013543.529521,53.22951143730716,10.40522503571061,30.1124,-1,-1,-1,-1,6.185407638549805,35,-9999,1715013547.095787,-3.15875244140625,-23.63546752929688,-34.279296875,182.1123352050781,177.9457244873047,11.53778839111328,1242484.29118,-0.0034942626953125,-0.19598388671875,-0.9863739013671875,1242484.28113,0.3024331033229828,0.1019543260335922,0.07319565117359161,1242484.271271,-39.9261474609375,-224.9320678710938,-596.4141845703125,1242484.264798,-0.6826464613570717,0.003575693137658494,0.1600770983889458,0.2099171578884125,0.1535845100879669,0.05473505333065987,-0.02408355474472046,-0.01428118348121643,-0.002522110939025879,XArbitraryCorrectedZVertical,0.07593724828810343,-0.02508369421396967,-0.3335274507834516,0.9393421661636085,0.003529970301315188,-0.1593943238258362,-0.9872086644172668,-3.228340148925781,-23.5775146484375,-34.48602294921875,-1,2,1242483.318829,unknown,2,2024-05-06T18:39:06.201+02:00,2024-05-06T08:14:20.629+02:00,3319,1.075756,0,0,2303.394,3,4,2024-05-06T18:39:05.880+02:00,1242482.218306,0,-3.561848,100.6105,1715013546.86496,10.233.12.50,100.110.24.9,my_iOS_device,0,1,1715013546.832307,1,0.7,0
