filtered_time,future_angle,delta_time,gps_latitude,gps_longitude,corrected_latitude,corrected_longitude
0.0,180.0,0.0,53.229612011803,10.40530184789123,53.2295966,10.4053239
14.614749666696298,270.0,14.614749666696298,53.22943006675475,10.40538664049602,53.2294238,10.4053372
23.812958041700767,270.0,9.19820837500447,53.22942844665643,10.40520103600564,53.2294155,10.4051001
38.17709199999808,180.0,14.364133958297316,53.22937028833647,10.40484857176784,53.2294001,10.4048764
46.29206362500554,90.0,8.114971625007456,53.22930828964337,10.40487558708641,53.2293119,10.4048889
52.26043566669978,90.0,5.968372041694238,53.22934518540501,10.40499234826632,53.2293211,10.4050829
54.577568041699124,90.0,2.317132374999346,53.22935896646572,10.40502868641371,53.2293211,10.4050829
56.86460625000473,90.0,2.287038208305603,53.22937193744579,10.40505392363163,53.2294155,10.4051001
59.43250862500281,,2.5679023749980843,53.22939135864674,10.40510624076079,53.2294155,10.4051001
60.73652024999319,,1.3040116249903804,53.22938973024468,10.40512215722324,53.2294155,10.4051001
