filtered_time,future_angle,delta_time,gps_latitude,gps_longitude,corrected_latitude,corrected_longitude
0.0,180.0,0.0,53.22958703701029,10.40532689732372,53.2295966,10.4053239
9.950033083092421,270.0,9.950033083092421,53.22950457457829,10.40534536298542,53.2295037,10.4053357
38.141790458001196,360.0,28.191757374908775,53.22948840440556,10.40487381706766,53.2294804,10.4048623
52.10235345805995,360.0,13.960563000058755,53.22963731813105,10.40483739930042,53.2296053,10.4048372
73.9629612499848,270.0,21.86060779192485,53.2298551869005,10.40476418325042,53.2298517,10.4047826
75.71180987497792,270.0,1.7488486249931157,53.22986063724538,10.4047577647459,53.2298517,10.4047826
81.56142262509093,180.0,5.84961275011301,53.2298608135078,10.40468580910364,53.229847,10.4046903
136.28826070809737,90.0,54.72683808300644,53.22931582024148,10.4047977862804,53.2293154,10.4048099
142.37895620800555,0.0,6.090695499908179,53.22930669549793,10.40489545289789,53.2293119,10.4048889
145.90672775008716,90.0,3.5277715420816094,53.22932683953199,10.40491224548345,53.2293119,10.4048889
161.04284462495707,,15.136116874869913,53.22934949498754,10.40511110752795,53.2293211,10.4050829
