filtered_time,future_angle,delta_time,gps_latitude,gps_longitude,corrected_latitude,corrected_longitude
0.0,180.0,0.0,53.22962878952367,10.40531311108959,53.2295966,10.4053239
9.03579337499832,270.0,9.03579337499832,53.22952643281989,10.40531841440352,53.2295037,10.4053357
22.534621375001734,180.0,13.498828000003414,53.22950588548616,10.4050625993038,53.2294835,10.4050846
29.79705499999909,270.0,7.262433624997357,53.22943901740413,10.40508754142113,53.2294155,10.4051001
42.35955629167074,180.0,12.562501291671651,53.22941789832934,10.4048428711887,53.2294001,10.4048764
51.664404625000316,270.0,9.304848333329574,53.22932071399141,10.40487823809906,53.2293119,10.4048889
58.50853025000106,360.0,6.844125625000743,53.22930580640536,10.40476102554433,53.2293154,10.4048099
112.66341316666876,360.0,54.1548829166677,53.22983387402723,10.40462776703229,53.229847,10.4046903
120.6929393749997,450.0,8.029526208330935,53.2298381764187,10.40478418850062,53.2298517,10.4047826
146.8734638749993,360.0,26.180524499999592,53.229597246529,10.40486795945815,53.2296053,10.4048372
162.79283441666848,,15.919370541669196,53.22961535549182,10.40503837245594,53.2296167,10.4050307
