filtered_time,future_angle,delta_time,gps_latitude,gps_longitude,corrected_latitude,corrected_longitude
0.0,180.0,0.0,53.22961465988416,10.40533328616062,53.2295966,10.4053239
8.626487958303187,270.0,8.626487958303187,53.2295178808298,10.40540114313615,53.2295037,10.4053357
14.01305524999043,270.0,5.386567291687243,53.22948325106391,10.40528977448671,53.2295037,10.4053357
29.350312624999788,270.0,15.337257375009358,53.22945399452967,10.40495384947817,53.2294804,10.4048623
33.68367883330211,360.0,4.333366208302323,53.22945400247639,10.40485460972487,53.2294804,10.4048623
44.8481343750027,270.0,11.16445554170059,53.22958382635283,10.40481496019748,53.2296053,10.4048372
51.59897812499548,360.0,6.750843749992782,53.22957998839016,10.40470731245882,53.2295982,10.4047287
71.8415323333029,450.0,20.24255420830741,53.22985262510757,10.40468501851596,53.229847,10.4046903
78.05073070830258,540.0,6.209198374999687,53.22986930908072,10.40476778804235,53.2298517,10.4047826
123.60180845829018,450.0,45.5510777499876,53.22940406255363,10.40486157496862,53.2294001,10.4048764
129.50011300000187,450.0,5.8983045417116955,53.22939984808915,10.40494861222487,53.2294001,10.4048764
133.88371470829588,450.0,4.383601708294009,53.22941609002217,10.40502749037184,53.2294155,10.4051001
137.89616295829182,,4.012448249995941,53.22941027921853,10.40510738071731,53.2294155,10.4051001
