filtered_time,future_angle,delta_time,gps_latitude,gps_longitude,corrected_latitude,corrected_longitude
0.0,180.0,0.0,53.22959405370248,10.40533511832956,53.2295966,10.4053239
9.564623249927536,270.0,9.564623249927536,53.22949633198578,10.40535458566683,53.2295037,10.4053357
23.074574874946848,180.0,13.509951625019312,53.22948931103364,10.40505724640528,53.2294835,10.4050846
30.128403291804716,270.0,7.053828416857868,53.22942596967996,10.40509812277502,53.2294155,10.4051001
42.681867541978136,180.0,12.55346425017342,53.22939842652217,10.40484946554307,53.2294001,10.4048764
51.469277292024344,270.0,8.787409750046209,53.22931462513161,10.40489768551525,53.2293119,10.4048889
57.207944500027224,360.0,5.73866720800288,53.22929592855579,10.4047811005333,53.2293154,10.4048099
84.34658599994145,450.0,27.13864149991423,53.22960759734957,10.40469602559886,53.2295982,10.4047287
91.69903474999592,360.0,7.352448750054464,53.22960710905772,10.40482909265367,53.2296053,10.4048372
113.9358586249873,270.0,22.236823874991387,53.22984494511024,10.40480540118648,53.2298517,10.4047826
120.92978966701776,180.0,6.993931042030454,53.22984329255069,10.40470217716129,53.229847,10.4046903
144.0637336249929,90.0,23.133943957975134,53.22960596504682,10.40476739470941,53.2295982,10.4047287
166.48026637500152,,22.416532750008628,53.22962112271079,10.40509199187507,53.2296167,10.4050307
