filtered_time,future_angle,delta_time,gps_latitude,gps_longitude,corrected_latitude,corrected_longitude
0.0,180.0,0.0,53.2295488212103,10.40533262310133,53.2295966,10.4053239
8.443377499992494,270.0,8.443377499992494,53.22949386326899,10.40540262145116,53.2295037,10.4053357
18.66164399997797,270.0,10.218266499985475,53.22944361289719,10.40514408710593,53.2294155,10.4051001
29.060382750001736,270.0,10.398738750023767,53.22940597926612,10.40488313113726,53.2294001,10.4048764
38.19559912499972,180.0,9.135216374997981,53.22941701782486,10.40467153751435,53.2293866,10.404756
46.0372216666874,180.0,7.841622541687684,53.2293522969149,10.4047189278062,53.2293866,10.404756
52.87605762499152,90.0,6.8388359583041165,53.22928931713182,10.40484030065147,53.2293154,10.4048099
65.57096516669844,90.0,12.694907541706925,53.22935068230922,10.40508626926517,53.2293211,10.4050829
67.38594924999052,90.0,1.8149840832920745,53.22937263062281,10.40512217016178,53.2294155,10.4051001
69.9529958749772,,2.5670466249866877,53.22938181403793,10.40515436917602,53.2294155,10.4051001
