filtered_time,future_angle,delta_time,gps_latitude,gps_longitude,corrected_latitude,corrected_longitude
0.0,180.0,0.0,53.22986578495506,10.4053252842747,53.2295966,10.4053239
15.671921000117436,270.0,15.671921000117436,53.22943415770927,10.40533604413366,53.2294238,10.4053372
29.33151466702111,360.0,13.659593666903675,53.22941202077887,10.40505722654716,53.2294155,10.4051001
36.465228124987334,270.0,7.133713457966223,53.22950297107914,10.40507147629268,53.2294835,10.4050846
49.54705187515356,360.0,13.081823750166222,53.22947920083226,10.40484359650795,53.2294804,10.4048623
83.9211526250001,270.0,34.37410074984655,53.22984735121825,10.4047860512044,53.2298517,10.4047826
90.71638150000945,180.0,6.795228875009343,53.22985093611408,10.40468412225181,53.229847,10.4046903
140.28526004217565,0.0,49.5688785421662,53.2293020785707,10.40479600548584,53.2293154,10.4048099
146.53235604218207,-90.0,6.247096000006422,53.22929865649215,10.40489107079999,53.2293119,10.4048889
173.7820945000276,0.0,27.249738457845524,53.22959862378819,10.40482788786286,53.2296053,10.4048372
188.3483894171659,,14.566294917138293,53.22962125922387,10.40504778917202,53.2296167,10.4050307
