loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2024-05-08T16:07:39.067+02:00,1,1715177258.999817,53.22960529686758,10.40530499711728,30.26599,0,1.35203,3.688933139566912,180,3.236714086761115,4.831999477788775,-9999,1715177259.054937,2.432113647460938,-21.01653671264648,-39.09597015380859,187.1705322265625,183.0029907226562,15.55802726745605,73606.500045875,0.03997802734375,-0.181915283203125,-0.929229736328125,73606.47748287501,-0.5178266167640686,0.07809373736381531,0.1557629704475403,73606.47354587501,133.0617523193359,-51.66249084472656,14.62043762207031,73606.46745387501,1.718171955138657,0.02136386445235876,0.07326331208757153,-0.4627238512039185,0.2430389970541,0.1298492103815079,-0.05836856737732887,-0.1179795861244202,0.1156201362609863,XArbitraryCorrectedZVertical,-0.01583524668606618,-0.03470325710796553,-0.756950238543313,-0.6523583843276392,0.02130493335425854,-0.07319778949022293,-0.9970898628234863,2.420364379882812,-21.39175796508789,-38.55133056640625,-1,2,73597.09183954167,walking,2,2024-05-08T16:07:29.656+02:00,2024-05-08T15:48:50.439+02:00,1994,0.7356681,0.6149455,1.911439,1454.707,0,0,2024-05-08T16:07:34.791+02:00,73603.167877,0,-0.433342,102.2203,0,,,my_iOS_device,0,5,1715177259.059221,1,0.2,0
2024-05-08T16:07:39.095+02:00,2,1715177258.999817,53.22960529686758,10.40530499711728,30.26599,0,1.35203,3.688933139566912,180,3.236714086761115,4.831999477788775,-9999,1715177259.075022,2.283721923828125,-20.6357536315918,-39.2470588684082,186.9477386474609,182.7801971435547,15.55865001678467,73606.530131875,-0.0063934326171875,-0.1685943603515625,-1.029220581054688,73606.50756887501,-0.3128319382667542,-0.06429083645343781,0.1695709228515625,73606.504557875,132.67578125,-50.97853088378906,14.25680541992188,73606.49753987501,1.723514875055648,0.02155742077421793,0.05850156930261449,-0.4312110543251038,-0.1041614338755608,0.1903112232685089,0.01943567954003811,-0.1246525198221207,0.07473278045654297,XArbitraryCorrectedZVertical,-0.01086424709067498,-0.02921146373812173,-0.7588245319141597,-0.6505492132302294,0.02151887491345406,-0.05846820399165154,-0.9980573058128357,2.53363037109375,-20.9261474609375,-39.19470977783203,-1,2,73597.09183954167,walking,2,2024-05-08T16:07:29.656+02:00,2024-05-08T15:48:50.439+02:00,1994,0.7356681,0.6149455,1.911439,1454.707,0,0,2024-05-08T16:07:34.791+02:00,73603.167877,0,-0.433342,102.2203,1715177259.081613,10.233.47.90,10.180.16.146,my_iOS_device,0,5,1715177259.059221,1,0.2,0
2024-05-08T16:07:39.128+02:00,3,1715177258.999817,53.22960529686758,10.40530499711728,30.26599,0,1.35203,3.688933139566912,180,3.236714086761115,4.831999477788775,-9999,1715177259.115218,2.157241821289062,-20.63055419921875,-39.31339263916016,186.7618103027344,182.5942687988281,15.55989170074463,73606.560217875,-0.0316619873046875,-0.180084228515625,-0.9449310302734375,73606.53765487501,-0.0137815922498703,-0.006042179651558399,0.03170280158519745,73606.535568875,132.8700714111328,-51.14149475097656,14.39767456054688,73606.52762587501,1.727967986947951,0.01973511357037725,0.05096787697291909,-0.08456572890281677,-0.01198036782443523,0.07649891823530197,-0.02524718455970287,-0.1168550923466682,-0.03100353479385376,XArbitraryCorrectedZVertical,-0.009045920968496046,-0.02578179268837634,-0.7603152195444737,-0.648979489941527,0.01970820687711239,-0.05094581469893456,-0.9985069632530212,2.185928344726562,-20.59039306640625,-39.27862548828125,-1,2,73597.09183954167,walking,2,2024-05-08T16:07:29.656+02:00,2024-05-08T15:48:50.439+02:00,1994,0.7356681,0.6149455,1.911439,1454.707,0,0,2024-05-08T16:07:34.791+02:00,73603.167877,0,-0.433342,102.2203,1715177259.081613,10.233.47.90,10.180.16.146,my_iOS_device,0,5,1715177259.059221,1,0.2,0
2024-05-08T16:07:39.158+02:00,4,1715177258.999817,53.22960529686758,10.40530499711728,30.26599,0,1.35203,3.688933139566912,180,3.236714086761115,4.831999477788775,-9999,1715177259.155306,2.182586669921875,-20.54128646850586,-38.96038055419922,186.9197235107422,182.7521820068359,15.56115913391113,73606.590304875,-0.0362701416015625,-0.2038421630859375,-0.9150848388671875,73606.56774087501,0.01088753528892994,-0.01241086330264807,-0.07617093622684479,73606.56658287501,132.6534271240234,-50.90785217285156,14.2984619140625,73606.55771187501,1.728405194626933,0.01930290423295688,0.05064059919038728,0.01500739250332117,-0.01990436390042305,-0.04434867948293686,-0.04962673038244247,-0.1291601061820984,0.0497404932975769,XArbitraryCorrectedZVertical,-0.009098390874106731,-0.02551916639807801,-0.7604572453910213,-0.6488228399982435,0.01927696168422699,-0.05061895772814751,-0.9985319972038269,2.347320556640625,-20.60743713378906,-39.25625228881836,-1,2,73597.09183954167,walking,2,2024-05-08T16:07:29.656+02:00,2024-05-08T15:48:50.439+02:00,1994,0.7356681,0.6149455,1.911439,1454.707,0,0,2024-05-08T16:07:34.791+02:00,73603.167877,0,-0.433342,102.2203,1715177259.081613,10.233.47.90,10.180.16.146,my_iOS_device,0,5,1715177259.059221,1,0.2,0
2024-05-08T16:07:39.185+02:00,5,1715177258.999817,53.22960529686758,10.40530499711728,30.26599,0,1.35203,3.688933139566912,180,3.236714086761115,4.831999477788775,-9999,1715177259.175365,2.186935424804688,-20.45319747924805,-39.02080535888672,187.0226135253906,182.8550720214844,15.56193256378174,73606.620390875,-0.0305938720703125,-0.21868896484375,-0.953643798828125,73606.597826875,-0.01879712380468845,0.0292604174464941,-0.09589590132236481,73606.59759787501,132.6454925537109,-50.97073364257812,14.48625183105469,73606.587798875,1.725901766397657,0.01884992409411419,0.05085046827232963,-0.006925499066710472,-0.006055536214262247,-0.109019547700882,-0.05504884570837021,-0.1512283384799957,0.08336883783340454,XArbitraryCorrectedZVertical,-0.00937059957657157,-0.02544027168674196,-0.7596410356709865,-0.6497774095783584,0.01882444322109222,-0.05082855746150017,-0.9985299706459045,2.182586669921875,-20.54128646850586,-38.96038055419922,-1,2,73597.09183954167,walking,2,2024-05-08T16:07:29.656+02:00,2024-05-08T15:48:50.439+02:00,1994,0.7356681,0.6149455,1.911439,1454.707,0,0,2024-05-08T16:07:34.791+02:00,73603.167877,0,-0.433342,102.2203,1715177259.081613,10.233.47.90,10.180.16.146,my_iOS_device,0,5,1715177259.059221,1,0.2,0
2024-05-08T16:07:39.215+02:00,6,1715177258.999817,53.22960529686758,10.40530499711728,30.26599,0,1.35203,3.688933139566912,180,3.236714086761115,4.831999477788775,-9999,1715177259.19546,2.31561279296875,-20.39270401000977,-39.27507400512695,187.0296630859375,182.8621215820312,15.56265449523926,73606.650476875,-0.015533447265625,-0.233612060546875,-0.940826416015625,73606.62791387501,-0.0310796219855547,0.1090742871165276,0.03768213093280792,73606.62861287501,132.8053436279297,-50.81265258789062,14.28822326660156,73606.617884875,1.723807390738858,0.02008052589240776,0.05062078110480338,-0.03084752522408962,0.08481057733297348,-0.006146437488496304,-0.05096779763698578,-0.1671132445335388,0.04543846845626831,XArbitraryCorrectedZVertical,-0.008855487679053413,-0.02574361386969447,-0.7589672784477145,-0.6505595285160884,0.02005345560610294,-0.05059916526079178,-0.9985176920890808,2.32000732421875,-20.48912811279297,-39.37211990356445,-1,2,73597.09183954167,walking,2,2024-05-08T16:07:29.656+02:00,2024-05-08T15:48:50.439+02:00,1994,0.7356681,0.6149455,1.911439,1454.707,0,0,2024-05-08T16:07:34.791+02:00,73603.167877,0,-0.433342,102.2203,1715177259.081613,10.233.47.90,10.180.16.146,my_iOS_device,0,5,1715177259.059221,1,0.2,0
2024-05-08T16:07:39.248+02:00,7,1715177258.999817,53.22960529686758,10.40530499711728,30.26599,0,1.35203,3.688933139566912,180,3.236714086761115,4.831999477788775,-9999,1715177259.235624,2.547836303710938,-20.46607208251953,-39.20606994628906,186.8245544433594,182.6570129394531,15.56382465362549,73606.680562875,0.0020294189453125,-0.2321624755859375,-0.9525909423828125,73606.65799987501,-0.08808831125497818,0.1480658948421478,0.1049522459506989,73606.65962587501,132.9039306640625,-50.95724487304688,14.17041015625,73606.647970875,1.725370060126006,0.0229084264350362,0.05040036710806155,-0.0617767795920372,0.1313076466321945,0.08945624530315399,-0.03886858373880386,-0.1840112209320068,0.05695509910583496,XArbitraryCorrectedZVertical,-0.007689826574789661,-0.02658585965950839,-0.7594883778152914,-0.649932027678602,0.02287733554840088,-0.05037903040647507,-0.9984681010246277,2.351913452148438,-20.49008178710938,-39.18029403686523,-1,2,73597.09183954167,walking,2,2024-05-08T16:07:29.656+02:00,2024-05-08T15:48:50.439+02:00,1994,0.7356681,0.6149455,1.911439,1454.707,0,0,2024-05-08T16:07:34.791+02:00,73603.167877,0,-0.433342,102.2203,1715177259.081613,10.233.47.90,10.180.16.146,my_iOS_device,0,5,1715177259.059221,1,0.2,0
2024-05-08T16:07:39.280+02:00,8,1715177258.999817,53.22960529686758,10.40530499711728,30.26599,0,1.35203,3.688933139566912,180,3.236714086761115,4.831999477788775,-9999,1715177259.275724,2.537216186523438,-20.4248046875,-39.28371047973633,186.5315246582031,182.3639831542969,15.56510829925537,73606.71064987501,-0.0063323974609375,-0.241241455078125,-0.9462890625,73606.68808587501,-0.07884314656257629,0.1357636898756027,0.1328230351209641,73606.690641875,133.0881195068359,-50.89433288574219,14.32363891601562,73606.67805687501,1.728914878897317,0.02643433058523937,0.04922092339103331,-0.1014332249760628,0.1456149965524673,0.1358216106891632,-0.0258804764598608,-0.1826257407665253,0.0462304949760437,XArbitraryCorrectedZVertical,-0.005918954586960071,-0.02729450897198036,-0.7606575275274202,-0.6485523485129111,0.02639924176037312,-0.04920105263590813,-0.9984399676322937,2.492660522460938,-20.45398712158203,-39.24345779418945,-1,2,73597.09183954167,walking,2,2024-05-08T16:07:29.656+02:00,2024-05-08T15:48:50.439+02:00,1994,0.7356681,0.6149455,1.911439,1454.707,0,0,2024-05-08T16:07:34.791+02:00,73603.167877,0,-0.433342,102.2203,1715177259.081613,10.233.47.90,10.180.16.146,my_iOS_device,0,5,1715177259.059221,1,0.2,0
2024-05-08T16:07:39.307+02:00,9,1715177258.999817,53.22960529686758,10.40530499711728,30.26599,0,1.35203,3.688933139566912,180,3.236714086761115,4.831999477788775,-9999,1715177259.295664,2.448104858398438,-20.45371246337891,-39.45127868652344,186.4380035400391,182.2704620361328,15.56577110290527,73606.74073587501,-0.002593994140625,-0.255462646484375,-0.9466552734375,73606.71817187501,-0.04210830479860306,0.04052558913826942,0.07792063057422638,73606.721666875,132.9041442871094,-50.92352294921875,14.00674438476562,73606.708143875,1.732677288339429,0.02923783671677388,0.04830521219347732,-0.05089766904711723,0.06237183883786201,0.09253273904323578,-0.03661537542939186,-0.1917953640222549,0.05126309394836426,XArbitraryCorrectedZVertical,-0.004503112015244862,-0.02786404390757647,-0.7618879062562471,-0.6470938736722516,0.02919957041740417,-0.04828642681241035,-0.9984066486358643,2.537216186523438,-20.4248046875,-39.28371047973633,-1,2,73597.09183954167,walking,2,2024-05-08T16:07:29.656+02:00,2024-05-08T15:48:50.439+02:00,1994,0.7356681,0.6149455,1.911439,1454.707,0,0,2024-05-08T16:07:34.791+02:00,73603.167877,0,-0.433342,102.2203,1715177259.081613,10.233.47.90,10.180.16.146,my_iOS_device,0,5,1715177259.059221,1,0.2,0
2024-05-08T16:07:39.336+02:00,10,1715177258.999817,53.22960529686758,10.40530499711728,30.26599,0,1.35203,3.688933139566912,180,3.236714086761115,4.831999477788775,-9999,1715177259.315789,2.564208984375,-20.35697555541992,-39.44799423217773,186.3788909912109,182.2113494873047,15.5663595199585,73606.770821875,-0.007965087890625,-0.2556610107421875,-0.95306396484375,73606.74825787501,-0.03484240174293518,0.07543323934078217,0.03625574335455894,73606.752694875,133.2176666259766,-50.85466003417969,14.15103149414062,73606.738229875,1.73489873087207,0.03002797096568488,0.04850651294374462,-0.02967790327966213,0.04527619481086731,0.04943028837442398,-0.03207863494753838,-0.2068378180265427,0.05223709344863892,XArbitraryCorrectedZVertical,-0.004235977699548747,-0.02820104798686082,-0.7626069985149451,-0.6462333807400866,0.02998814545571804,-0.04848749190568924,-0.9983735084533691,2.520462036132812,-20.41476058959961,-39.45396423339844,-1,2,73597.09183954167,walking,2,2024-05-08T16:07:29.656+02:00,2024-05-08T15:48:50.439+02:00,1994,0.7356681,0.6149455,1.911439,1454.707,0,0,2024-05-08T16:07:34.791+02:00,73603.167877,0,-0.433342,102.2203,1715177259.081613,10.233.47.90,10.180.16.146,my_iOS_device,0,5,1715177259.059221,1,0.2,0
